12880,VEPPUR,Perambalur,Veppanthattai,TAMIL NADU,0101000020E6100000A2808A36C9C45340D221CBDD421A2740
12881,PENNAGARAM,Dharmapuri,Pennagaram,TAMIL NADU,0101000020E6100000940156FD8076534049EFC0A508452840
12882,DUDU,Jaipur,Mauzamabad,RAJASTHAN,0101000020E6100000649B0AA73BCE5240F403B23275AE3A40
12883,VADUVUR,Thiruvarur,Mannargudi,TAMIL NADU,0101000020E6100000862D872785D5534019671D9FDA6A2540
12884,VELLANKOIL,Erode ,Gobichettipalayam,TAMIL NADU,0101000020E6100000A2B8E34D7E5E53401C5B74571BC02640
12885,BACHAIBARI,West Tripura,Khowai ,TRIPURA,0101000020E610000069A9BC1D61EB5640AA52697A3F1C3840
12886,ATPADI,Sangli ,Atpadi,MAHARASHTRA,0101000020E610000046DDBD921ABC5240FD474B8A346C3140
12887,UTHIRAMERUR,Kanchipuram,Uthiramerur,TAMIL NADU,0101000020E61000008845B18199F053405A619FA5D03A2940
12888,TULJAPUR,Osmanabad,Tuljapur,MAHARASHTRA,0101000020E6100000925ED4EE570353409E2C1098E2013240
12889,ANDIPATTI,Theni,Andipatti ,TAMIL NADU,0101000020E6100000F583BA4821665340E42B26DB65002440
12890,ARNOD,Pratapgarh ,Arnod,RAJASTHAN,0101000020E6100000424E4EA37FB15240F1660DDE57E33740
12891,KHANDAR,Sawai Madhopur,Khandar,RAJASTHAN,0101000020E61000009CECB0D359255340A3AB19BE2A023A40
12893,CHITTODE,Erode ,Erode,TAMIL NADU,0101000020E6100000E82C584FD269534064CE8EAF98CC2640
12894,BHINGA,Shravasti,Bhinga,UTTAR PRADESH,0101000020E6100000F34E4F698E7A54400BC8A87C19B43B40
12896,KATGHORA,Korba ,Katghora,CHHATTISGARH,0101000020E61000003A78263449A054406CC6B31545813640
12897,KALAMB(Dharashiv),Dharashiv ,Kalamb,MAHARASHTRA,0101000020E6100000987B9285797C52402CD7DB662A0C3340
12898,TIRUVANNAMALAI,Kalasapakkam,Polur,TAMIL NADU,0101000020E61000004AC33A9FCBC15340BF3D192D517B2840
12899,MUTHUR,Erode ,Erode,TAMIL NADU,0101000020E6100000CB417518B86D5340641CC81FB1162640
12900,TIBBI,Hanumangarh ,Tibbi,RAJASTHAN,0101000020E61000002458665B979F5240D5FA6C2E488E3D40
12901,SIDHI ,Sidhi,Gopadbanas,MADHYA PRADESH,0101000020E6100000859A7C0E07765440C2CBC28D4A663840
12902,NAHARGARH,Mandalgarh,Suras,RAJASTHAN,0101000020E610000052C6095D53355340234097BA75EC3840
12903,CHARKHARI,Mahoba ,Charkhari,UTTAR PRADESH,0101000020E61000007C98BD6CBBEE53403D258C0BAC663940
12904,MANJHANPUR,Kaushambi,Manjhanpur,UTTAR PRADESH,0101000020E6100000489E9042FE565440B79E7CD525883940
12905,RAIRAKHOL,Rairakhol,Rairakhol,ODISHA,0101000020E6100000409AFBF5541555407568A219D50B3540
